gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup,ChargesRatio
1,0,1,1,68,1,0,1,1,0,1,0,1,0,0,70.8,4859.95,0,1,1,0,0,5+ years,67.68732590529248
1,0,1,0,44,1,0,2,0,1,0,1,1,1,1,84.8,3626.35,0,0,1,0,0,2-4 years,42.265151515151516
1,0,1,1,63,1,0,2,1,0,0,1,0,0,1,104.8,6597.25,0,1,0,0,0,5+ years,62.35586011342155
1,0,0,0,25,1,1,0,0,0,0,0,0,0,0,19.9,510.8,1,0,1,0,0,2-4 years,24.44019138755981
0,0,0,0,58,1,0,2,0,1,1,1,1,1,1,79.8,4526.85,0,0,0,0,0,4-5 years,56.02537128712872
1,0,1,1,19,1,0,1,1,1,1,1,1,1,0,50.1,910.45,0,0,1,0,0,1-2 years,17.817025440313113
0,0,1,1,7,1,1,0,0,0,0,0,0,0,0,20.65,158.95,0,0,0,0,1,0-1 year,7.341801385681293
1,0,0,1,27,1,1,0,0,0,0,0,0,0,0,19.7,509.3,0,1,1,0,0,2-4 years,24.603864734299517
0,0,1,1,19,1,1,0,0,0,0,0,0,0,0,20.2,382.2,0,0,0,0,1,1-2 years,18.028301886792452
0,0,1,1,64,1,0,2,0,1,1,0,1,1,1,86.8,5327.25,0,0,0,0,0,5+ years,60.6748291571754
0,0,1,1,8,1,1,0,0,0,0,0,0,0,0,19.05,201.7,0,1,0,0,1,0-1 year,10.059850374064837
1,0,1,1,22,1,1,1,0,0,1,0,1,1,1,57.95,1271.8,0,0,0,0,1,1-2 years,21.574215436810857
0,0,1,1,64,1,0,2,0,0,1,0,0,0,0,110.3,6997.3,0,1,0,0,0,5+ years,62.86882300089847
0,0,1,1,52,1,1,2,1,0,0,0,1,1,0,85.8,4433.3,0,0,0,0,0,4-5 years,51.07488479262673
1,0,1,1,42,1,1,1,0,1,1,0,1,0,0,63.7,2763.35,1,0,1,0,0,2-4 years,42.71020092735703
1,0,1,0,72,1,0,2,0,1,0,0,0,0,1,111.9,8071.05,0,1,1,0,0,5+ years,71.48848538529673
0,0,1,1,48,1,0,2,0,0,1,1,0,0,1,105.25,4997.5,0,0,1,0,0,2-4 years,47.03529411764706
1,0,0,0,20,1,1,2,1,1,1,1,1,1,0,70.55,1493.55,0,0,1,0,0,1-2 years,20.87421383647799
1,0,1,1,62,1,0,0,0,0,0,0,0,0,0,24.8,1476.25,1,0,0,0,0,5+ years,57.218992248062015
1,0,0,0,18,1,0,2,1,1,1,1,1,1,0,74.15,1387.0,0,0,0,0,1,1-2 years,18.456420492348634
1,0,1,0,25,1,1,2,1,1,1,0,0,0,1,95.7,2338.35,0,0,1,0,0,2-4 years,24.181489141675282
0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,44.05,202.15,0,0,1,0,0,0-1 year,4.487236403995561
1,0,1,1,60,1,1,0,0,0,0,0,0,0,0,20.55,1205.05,0,1,0,0,1,4-5 years,55.91879350348027
1,0,1,0,19,1,0,2,0,0,1,0,1,1,1,88.8,1672.35,0,0,1,0,0,1-2 years,18.62305122494432
0,0,0,0,4,1,0,1,1,1,1,0,0,1,1,64.4,253.0,0,0,0,0,1,0-1 year,3.8685015290519873
1,0,0,1,66,1,0,0,0,0,0,0,0,0,1,25.3,1673.8,0,1,1,0,0,5+ years,63.6425855513308
1,0,1,1,42,1,0,1,0,0,1,1,0,1,1,69.4,3058.3,0,0,0,0,0,2-4 years,43.44176136363636
0,0,0,0,9,1,1,2,1,1,0,1,1,0,1,85.3,781.4,0,0,1,0,0,0-1 year,9.054461181923523
0,0,1,0,20,1,1,2,1,1,1,1,1,1,1,69.8,1540.35,0,0,0,0,0,1-2 years,21.75635593220339
1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,19.85,51.6,0,0,0,0,1,0-1 year,2.474820143884892
1,0,0,0,8,1,1,0,0,0,0,0,0,0,1,19.7,168.9,0,0,0,0,0,0-1 year,8.159420289855072
1,0,1,1,62,1,0,2,0,0,1,1,0,1,1,94.95,5791.85,1,0,1,0,0,5+ years,60.36321000521105
1,0,0,0,18,1,1,2,1,1,1,0,1,1,1,75.9,1373.05,0,0,0,0,0,1-2 years,17.855006501950584
1,0,1,1,72,1,0,2,0,0,0,0,1,0,0,103.95,7517.7,0,1,1,0,0,5+ years,71.63125297760838
0,0,1,1,36,1,0,2,0,1,0,1,0,0,1,104.5,3684.95,0,0,1,0,0,2-4 years,34.92843601895734
0,0,1,1,72,1,0,2,0,0,0,0,1,0,0,107.45,7658.3,0,1,1,0,0,5+ years,70.6159520516367
1,0,0,0,72,1,0,1,0,1,0,0,0,0,0,84.3,5997.1,0,1,1,0,0,5+ years,70.30597889800704
1,0,1,1,70,1,0,1,0,0,0,0,1,0,0,78.35,5445.95,1,0,0,0,0,5+ years,68.63201008191557
1,0,0,0,3,1,1,2,1,1,1,1,1,1,1,70.3,220.4,0,0,0,0,1,0-1 year,3.0911640953716693
0,0,1,1,68,1,0,2,0,1,0,0,0,0,0,111.75,7511.3,0,1,1,0,0,5+ years,66.61906873614191
0,0,1,1,17,1,1,1,0,0,1,1,0,0,0,74.55,1215.8,0,0,0,0,1,1-2 years,16.092653871608206
0,0,1,0,61,1,0,0,0,0,0,0,0,0,0,25.3,1554.9,0,1,0,0,0,5+ years,59.121673003802286
0,0,1,0,53,1,0,2,1,0,0,0,0,0,1,108.95,5718.2,1,0,0,0,0,4-5 years,52.00727603456116
1,0,1,1,72,1,0,2,1,1,1,1,1,0,1,84.5,6130.85,0,1,1,0,0,5+ years,71.70584795321638
0,0,1,0,59,1,0,2,0,0,0,0,1,0,1,107.0,6152.3,1,0,1,0,0,4-5 years,56.96574074074074
0,0,0,0,26,1,1,1,1,0,0,1,1,1,1,54.75,1406.9,0,0,1,0,0,2-4 years,25.235874439461885
1,0,0,0,47,1,0,2,0,0,1,0,0,1,0,100.75,4669.2,0,0,0,0,1,2-4 years,45.88894348894349
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,20.55,20.55,0,0,1,0,0,0-1 year,0.9535962877030162
1,0,1,1,10,1,0,0,0,0,0,0,0,0,1,24.4,253.9,0,0,0,0,1,0-1 year,9.996062992125985
0,0,1,1,72,1,0,2,0,0,0,0,0,0,1,117.6,8308.9,0,1,0,0,0,5+ years,70.05817875210792
1,0,1,0,48,1,1,0,0,0,0,0,0,0,0,19.25,855.1,0,1,0,0,1,2-4 years,42.227160493827164
1,0,0,1,6,1,1,0,0,0,0,0,0,0,0,19.7,111.65,0,0,0,0,1,0-1 year,5.393719806763285
0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,20.05,39.25,0,0,0,0,1,0-1 year,1.8646080760095012
1,0,0,0,18,1,1,0,0,0,0,0,0,0,0,20.1,401.85,1,0,0,0,1,1-2 years,19.045023696682463
1,0,1,0,64,1,0,2,0,1,0,0,0,0,1,108.5,6880.85,1,0,0,0,1,5+ years,62.83881278538813
0,0,0,1,8,1,1,0,0,0,0,0,0,0,0,20.05,163.6,0,0,0,0,1,0-1 year,7.771971496437054
0,0,0,0,72,1,0,2,0,1,1,0,1,1,1,84.7,6185.15,0,1,0,0,0,5+ years,72.17211201866976
0,0,0,0,14,1,1,1,0,1,1,0,1,1,0,55.7,795.15,1,0,0,0,1,1-2 years,14.023809523809522
1,0,1,0,72,1,0,1,0,0,0,0,1,1,1,67.8,4804.65,0,1,0,0,0,5+ years,69.83502906976744
0,0,1,1,30,1,1,1,1,0,0,0,0,0,0,80.8,2369.3,0,1,0,0,0,2-4 years,28.964547677261617
0,0,1,0,68,1,0,2,0,0,1,1,1,1,1,84.7,5711.05,0,1,0,0,0,5+ years,66.64002333722287
1,0,0,1,39,1,1,0,0,0,0,0,0,0,0,19.35,779.2,1,0,0,0,0,2-4 years,38.28992628992629
0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,23.3,797.1,0,1,0,0,0,2-4 years,32.80246913580247
0,0,1,1,52,1,1,2,0,1,0,0,1,1,1,84.05,4326.8,0,0,0,0,0,4-5 years,50.87360376249266
1,0,0,0,11,1,1,0,0,0,0,0,0,0,1,20.45,237.3,0,0,1,0,0,0-1 year,11.062937062937063
0,0,0,0,26,1,1,1,1,0,0,1,1,1,1,56.05,1553.2,1,0,0,0,1,2-4 years,27.225241016652063
1,0,0,0,4,1,0,1,1,1,1,0,1,0,0,65.55,237.2,0,0,0,0,1,0-1 year,3.564237415477085
0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,25.0,300.7,0,1,0,0,1,0-1 year,11.565384615384614
1,0,1,1,68,1,0,0,0,0,0,0,0,0,1,24.0,1664.3,0,1,0,0,0,5+ years,66.572
1,0,0,0,37,1,1,1,0,0,0,0,1,1,0,65.6,2313.8,0,1,0,0,0,2-4 years,34.74174174174175
0,0,0,0,30,1,0,2,0,1,1,0,0,0,0,106.4,3211.9,0,0,0,0,0,2-4 years,29.905959031657353
0,0,1,0,66,1,0,2,1,0,0,0,1,1,1,90.55,6130.95,1,0,0,0,0,5+ years,66.96832332058985
1,0,0,0,26,1,1,0,0,0,0,0,0,0,0,19.8,457.3,1,0,1,0,0,2-4 years,21.985576923076923
0,0,0,0,47,1,1,1,0,0,1,0,1,1,1,58.9,2813.05,1,0,0,0,1,2-4 years,46.962437395659435
0,0,1,0,72,1,0,2,0,0,0,0,0,0,1,113.65,8124.2,0,1,1,0,0,5+ years,70.86088094199738
1,0,1,0,51,1,0,1,1,1,1,0,0,0,1,75.2,3901.25,0,1,0,0,0,4-5 years,51.19750656167979
0,0,1,1,71,1,1,0,0,0,0,0,0,0,0,19.7,1415.85,0,1,1,0,0,5+ years,68.39855072463767
0,0,1,1,52,1,1,0,0,0,0,0,0,0,0,19.35,1031.7,0,1,0,0,1,4-5 years,50.697788697788695
0,0,0,0,48,1,0,0,0,0,0,0,0,0,0,24.0,1183.05,0,1,1,0,0,2-4 years,47.321999999999996
0,0,0,1,35,1,1,0,0,0,0,0,0,0,1,20.1,644.5,1,0,1,0,0,2-4 years,30.545023696682463
0,0,0,0,52,1,1,0,0,0,0,0,0,0,0,20.65,1022.95,1,0,0,0,1,4-5 years,47.24942263279446
0,0,1,0,72,1,0,1,0,0,0,0,0,0,0,88.05,6520.8,0,1,0,0,0,5+ years,73.22627737226277
0,0,0,0,18,1,0,1,0,1,0,1,1,1,1,60.6,1156.35,0,0,0,0,1,1-2 years,18.771915584415584
1,0,0,1,2,1,0,1,0,0,1,1,1,1,0,60.95,134.6,0,0,0,0,0,0-1 year,2.1727199354318
1,0,0,0,33,1,0,1,1,0,1,1,1,1,1,54.65,1665.2,0,0,0,0,0,2-4 years,29.92273135669362
0,0,1,0,72,1,0,2,1,0,0,0,0,0,0,109.15,7789.6,1,0,1,0,0,5+ years,70.71811166591013
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,45.15,45.15,0,0,0,0,1,0-1 year,0.9783315276273022
1,0,1,1,66,1,1,2,0,0,0,1,0,0,1,103.15,7031.3,1,0,0,0,0,5+ years,67.51128180508881
1,0,1,0,47,1,0,2,1,1,1,1,0,0,1,95.2,4563.0,1,0,1,0,0,2-4 years,47.43243243243243
0,0,1,0,68,1,0,1,0,1,1,0,1,1,0,58.25,3975.7,1,0,0,0,0,5+ years,67.10042194092827
1,0,1,1,55,1,1,0,0,0,0,0,0,0,0,19.5,1026.35,1,0,0,0,1,4-5 years,50.06585365853658
1,0,1,0,72,1,0,1,0,1,0,0,0,0,0,86.65,6094.25,0,1,1,0,0,5+ years,69.52937820878493
0,0,0,0,56,1,0,2,1,0,1,0,0,0,1,105.45,5916.95,0,0,0,0,0,4-5 years,55.58431188351339
0,0,1,0,72,1,0,0,0,0,0,0,0,0,0,25.0,1849.2,0,1,1,0,0,5+ years,71.12307692307692
1,0,1,1,67,1,1,1,0,0,1,1,1,1,1,54.2,3838.2,0,1,0,0,0,5+ years,69.53260869565217
0,0,1,1,69,1,1,0,0,0,0,0,0,0,0,19.75,1375.4,0,1,0,0,0,5+ years,66.28433734939759
0,0,0,0,30,1,0,1,0,1,0,1,0,0,1,79.3,2427.1,1,0,1,0,0,2-4 years,30.22540473225405
0,0,1,1,38,1,1,0,0,0,0,0,0,0,1,20.2,746.05,0,1,0,0,1,2-4 years,35.19103773584906
0,0,0,0,5,1,1,2,1,1,1,0,1,1,1,75.65,399.45,0,0,0,0,1,0-1 year,5.211350293542074
1,0,0,1,32,1,1,0,0,0,0,0,0,0,0,20.5,696.8,0,1,0,0,1,2-4 years,32.40930232558139
